"name","studies"
"Paclitaxel","194"
"Trastuzumab","171"
"Placebo","160"
"Docetaxel","146"
"Cyclophosphamide","143"
"cyclophosphamide","121"
"laboratory biomarker analysis","120"
"paclitaxel","98"
"Letrozole","95"
"trastuzumab","89"
"Capecitabine","88"
"Fulvestrant","86"
"Carboplatin","85"
"Laboratory Biomarker Analysis","84"
"docetaxel","82"
"Questionnaire Administration","80"
"Doxorubicin","69"
"placebo","63"
"Exemestane","63"
"Bevacizumab","58"
"Anastrozole","58"
"Epirubicin","56"
"radiation therapy","55"
"doxorubicin hydrochloride","54"
"Tamoxifen","52"
